Şirket;Tarih;Fatura no;Fatura içeriği;Gider sınıfı;Firma;Adet;Brim Fiyat;KDV Tutarı;OIV Tutarı;Ödenecek Tutar;Kur;Birim Fiyat Dolar;KDV Dolar
Bekkiler;30.09.2023;01S2023001015908;DATA SERVİSLERİ (%20 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;450,00;90,00;45,00;585,00;0,00;0,00;0,00
Bekkiler;31.10.2023;01S2023001269785;DATA SERVİSLERİ (%20 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;450,00;90,00;45,00;585,00;0,00;0,00;0,00
Bekkiler;31.07.2023;01S2023000717211;MPLSVPN HİZMETLERİ (%18 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;390,08;70,21;39,01;499,30;0,00;0,00;0,00
Beksan;31.07.2023;01S2023000823645;DATA SERVİSLERİ (%18 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;348,03;62,65;34,80;445,48;0,00;0,00;0,00
Bekkiler;30.09.2023;A162023054073780;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;242,12;48,42;24,21;314,75;0,00;0,00;0,00
Bekkiler;30.09.2023;XJ52023093002912;HER YÖNE 1000 DAKİKA - 24,90 TL/AY-2662463513 (EYLÜL 2023)(GSM:14% SA:11% SI:67% DO:8% );SABIT HAT;TURKNET;1,00;19,15;3,83;1,92;24,90;0,00;0,00;0,00
Bekkiler;30.09.2023;XJ52023093002912;HER YÖNE 1000 DAKİKA - 24,90 TL/AY-2662462750 (EYLÜL 2023)(GSM:17% SA:13% SI:62% TN:2% DO:5% );SABIT HAT;TURKNET;1,00;19,15;3,83;1,92;24,90;0,00;0,00;0,00
Bekkiler;30.09.2023;XJ52023093002912;HER YÖNE 1000 DAKİKA - 24,90 TL/AY-2662460518 (EYLÜL 2023)(GSM:19% SA:19% SI:57% TN:2% DO:3% );SABIT HAT;TURKNET;1,00;19,15;3,83;1,92;24,90;0,00;0,00;0,00
Bekkiler;30.09.2023;XJ52023093002912;HER YÖNE 1000 DAKİKA - 24,90 TL/AY-2662462752 (EYLÜL 2023)(GSM:17% SA:21% SI:41% TN:2% DO:19% );SABIT HAT;TURKNET;1,00;19,15;3,83;1,92;24,90;0,00;0,00;0,00
Bekkiler;30.09.2023;XJ52023093002912;HER YÖNE 1000 DAKİKA - 10 TL/AY-2662465109 (EYLÜL 2023);SABIT HAT;TURKNET;1,00;7,69;1,54;0,77;10,00;0,00;0,00;0,00
